ISO2,countryname,SP,year,c1_visits,c2_user,c3_pdoDeliver,c3_pdoDeliver_pid,c4_events,c6_eAttendees,c7_policy,c8_allEvent,c9_cEvent,c10_pdoStored,c10_pdoStored_pid,c13_staff,c14_nfunds,c15_cstaff,c16_cfunds,c18_trl8,c18_trl6,c19_pub,c19a_peer
AT,Austria,AUSSDA,2020,14248.0,938.0,6335.0,6335.0,,,00--06,9.0,,741.0,741.0,11.0,500000.0,1.0,500000.0,01--03,,,
AT,Austria,AUSSDA,2021,16688.0,829.0,7954.0,7954.0,3.0,47.0,00--06,15.0,,1166.0,1166.0,11.0,500000.0,1.0,,01--03,,133.0,
AT,Austria,AUSSDA,2022,9211.0,926.0,8294.0,8294.0,8.0,50.0,00--06,25.0,10--14,1400.0,1400.0,12.0,912654.0,2.0,,01--03,,199.0,
AT,Austria,AUSSDA,2023,9854.0,4481.0,7831.0,7831.0,6.0,62.0,13--24,16.0,06--09,1527.0,1527.0,12.0,960000.0,1.0,,01--03,00--02,269.0,60--79%
AT,Austria,AUSSDA,2024,15416.0,5367.0,14467.0,14467.0,9.0,205.0,25--36,17.0,10--14,1567.0,1567.0,12.5,1000000.0,2.0,,01--03,00--02,303.0,60--79%
AT,Austria,AUSSDA,2025,17421.0,6452.0,18084.0,18084.0,18.0,589.0,07--12,14.0,10--14,1600.0,1600.0,12.2,221093.0,1.0,0.0,01--03,00--02,41.0,>=80%
BE,Belgium,SODHA,2020,,48.0,0.0,,4.0,80.0,00--06,4.0,00--05,43.0,43.0,3.5,70786.0,,,Not evaluated,,,
BE,Belgium,SODHA,2021,,69.0,73.0,73.0,8.0,,00--06,8.0,,75.0,75.0,4.5,153000.0,0.5,,Not evaluated,,,
BE,Belgium,SODHA,2022,,104.0,88.0,88.0,5.0,,00--06,13.0,,88.0,88.0,5.0,80000.0,0.5,,Not evaluated,,,
BE,Belgium,SODHA,2023,,121.0,5392.0,5392.0,1.0,,00--06,2.0,00--05,94.0,94.0,3.2,60000.0,0.2,,01--03,00--02,,Don't know
BE,Belgium,SODHA,2024,,171.0,8425.0,8425.0,2.0,2.0,00--06,2.0,00--05,104.0,104.0,1.7,50000.0,1.0,,01--03,00--02,,Don't know
BE,Belgium,SODHA,2025,,269.0,29809.0,29809.0,1.0,80.0,00--06,2.0,00--05,129.0,129.0,1.7,0.0,1.0,0.0,Not evaluated,Not evaluated,,Don't know
CH,Switzerland,FORS,2020,55133.0,7700.0,2577.0,2577.0,5.0,130.0,00--06,65.0,00--05,748.0,748.0,49.6,6631924.0,0.4,,0,,,
CH,Switzerland,FORS,2021,59914.0,8800.0,2413.0,2413.0,10.0,350.0,00--06,146.0,10--14,790.0,790.0,43.3,7099892.0,0.5,,0,,742.0,
CH,Switzerland,FORS,2022,84736.0,3400.0,2085.0,2085.0,17.0,510.0,00--06,154.0,10--14,841.0,841.0,52.1,8397205.0,0.4,,0,,897.0,
CH,Switzerland,FORS,2023,79709.0,5038.0,2322.0,2322.0,17.0,320.0,07--12,142.0,10--14,940.0,940.0,49.6,8395134.0,0.5,,>=10,>=13,726.0,60--79%
CH,Switzerland,FORS,2024,68078.0,6800.0,2213.0,2213.0,19.0,276.0,07--12,105.0,10--14,1100.0,1100.0,53.4,8605536.0,0.5,,>=10,>=13,774.0,60--79%
CH,Switzerland,FORS,2025,67970.0,9003.0,2420.0,2420.0,11.0,282.0,07--12,113.0,06--09,1170.0,1170.0,48.8,8479053.0,0.5,0.0,>=10,>=13,667.0,>=80%
CZ,Czecha,CSDA,2020,,3780.0,37.0,37.0,6.0,290.0,07--12,10.0,00--05,964.0,964.0,9.79,385424.0,0.33,15522.0,01--03,,,
CZ,Czecha,CSDA,2021,40000.0,4207.0,,,6.0,300.0,00--06,8.0,00--05,1020.0,1020.0,9.52,275320.0,6.58,234878.0,0,,33.0,
CZ,Czecha,CSDA,2022,50000.0,4585.0,,,7.0,274.0,00--06,11.0,00--05,1078.0,1078.0,10.5,285785.375,6.89,243563.6563,Not evaluated,,25.0,
CZ,Czecha,CSDA,2023,141161.0,4912.0,,,1.0,35.0,00--06,2.0,00--05,1122.0,1122.0,10.2,231892.0,4.2,177668.0,Not evaluated,Not evaluated,32.0,40--59%
CZ,Czecha,CSDA,2024,294541.0,570.0,26500.0,26500.0,2.0,60.0,00--06,2.0,00--05,1184.0,1184.0,10.5,230825.0,4.8,192345.0,Not evaluated,Not evaluated,30.0,40--59%
CZ,Czecha,CSDA,2025,120637.0,905.0,43000.0,43000.0,2.0,40.0,00--06,10.0,10--14,1251.0,1251.0,10.4,223514.0,4.3,175540.0,Not evaluated,Not evaluated,32.0,60--79%
DE,Germany,GESIS,2020,2211406.0,26475.0,71519.0,71519.0,4.0,78.0,00--06,42.0,,6622.0,6622.0,54.0,3593038.0,3.0,440000.0,Not evaluated,,,
DE,Germany,GESIS,2021,2457643.0,40198.0,66803.0,66803.0,51.0,1070.0,00--06,96.0,,6697.0,6697.0,56.42,3538944.0,2.6,440000.0,01--03,,1956.0,
DE,Germany,GESIS,2022,2214254.0,62181.5,99100.0,99100.0,69.0,1008.0,07--12,346.0,,6905.0,6905.0,312.18,42281648.0,2.3,440000.0,01--03,,2164.0,
DE,Germany,GESIS,2023,2646251.0,84165.0,80158.0,80158.0,62.0,913.0,,103.0,,7097.0,7097.0,325.7,29869000.0,,,Not evaluated,Not evaluated,1111.0,60--79%
DE,Germany,GESIS,2024,2267459.0,110730.0,78734.0,78734.0,60.0,900.0,,93.0,,7373.0,7373.0,341.5,30027000.0,,,Not evaluated,Not evaluated,1121.0,60--79%
DE,Germany,GESIS,2025,3116784.0,139714.0,95827.0,95827.0,58.0,861.0,13--24,14.0,06--09,7632.0,7632.0,349.9,30991000.0,0.0,0.0,Not evaluated,Not evaluated,1198.0,60--79%
DK,Denmark,DNA,2020,,,,,4.0,30.0,00--06,4.0,00--05,3084.0,3084.0,183.79,1824632.0,3.0,,Not evaluated,,,
DK,Denmark,DNA,2021,1183795.0,,19993.0,19993.0,15.0,600.0,00--06,35.0,00--05,3084.0,3084.0,209.0,21701266.0,5.0,,Not evaluated,,,
EL,Greece,SoDaNet,2020,1560.0,100.0,,,3.0,200.0,00--06,10.0,00--05,85.0,85.0,6.0,70000.0,3.0,20000.0,0,,,
EL,Greece,SoDaNet,2021,23600.0,93.0,637.0,637.0,5.0,150.0,00--06,12.0,06--09,637.0,637.0,9.0,100000.0,3.0,,0,,10.0,
EL,Greece,SoDaNet,2022,27658.0,53.0,690.0,690.0,6.0,150.0,00--06,17.0,06--09,690.0,690.0,6.0,250000.0,3.0,,Not evaluated,,18.0,
EL,Greece,SoDaNet,2023,1303.0,196.0,688.0,688.0,10.0,80.0,00--06,13.0,00--05,697.0,697.0,4.5,89000.0,2.0,,Not evaluated,Not evaluated,2.0,Don't know
EL,Greece,SoDaNet,2024,1645.0,243.0,10624.0,10624.0,14.0,105.0,00--06,19.0,00--05,750.0,750.0,4.5,105000.0,2.5,,Not evaluated,Not evaluated,4.0,Don't know
EL,Greece,SoDaNet,2025,11929.0,303.0,13190.0,13190.0,13.0,1000.0,00--06,9.0,06--09,2337.0,2337.0,4.0,418586.0,1.2,,Not evaluated,Not evaluated,70.0,<=19%
EU,Main Office,MO,2023,,,,,,,00--06,45.0,>=24,,,,,,,04--06,03--05,,
EU,Main Office,MO,2024,,,,,,,13--24,38.0,>=24,,,,,,,04--06,03--05,,
FI,Finland,FSD,2020,2100000.0,2824.0,2598.0,2598.0,13.0,200.0,00--06,29.0,15--23,1581.0,1581.0,27.0,1035000.0,4.0,492000.0,Not evaluated,,,
FI,Finland,FSD,2021,2400000.0,3556.0,4502.0,4502.0,21.0,800.0,00--06,34.0,10--14,1686.0,1686.0,27.0,945000.0,4.2,273218.0,01--03,,155.0,
FI,Finland,FSD,2022,2510000.0,4487.0,6514.0,6514.0,17.0,900.0,00--06,38.0,15--23,1775.0,1775.0,27.0,945000.0,2.77,189491.0,01--03,,511.0,
FI,Finland,FSD,2023,2418312.0,5489.0,6752.0,6752.0,34.0,1200.0,>=37,199.0,>=24,1902.0,1902.0,25.1,1565394.0,3.5,,01--03,00--02,6306.0,20--39%
FI,Finland,FSD,2024,2785041.0,6442.0,7372.0,7372.0,57.0,3300.0,>=37,212.0,>=24,2017.0,2017.0,19.4,1360580.0,2.6,,01--03,00--02,6872.0,20--39%
FI,Finland,FSD,2025,2070000.0,7070.0,7279.0,7279.0,63.0,1100.0,>=37,275.0,>=24,2154.0,2154.0,20.9,1284284.0,4.4,0.0,01--03,03--05,7610.0,20--39%
FR,France,Progedo,2020,104100.0,660.0,780.0,780.0,222.0,1500.0,00--06,247.0,10--14,1738.0,1738.0,4.5,200000.0,,,0,,,
FR,France,Progedo,2021,90710.0,926.0,1085.0,1085.0,313.0,1800.0,00--06,356.0,10--14,,1644.0,6.5,,,,0,,,
FR,France,Progedo,2022,77320.0,,1118.0,1118.0,233.0,1881.5,07--12,312.0,,1550.0,1550.0,8.5,175000.0,,,Not evaluated,,,
FR,France,Progedo,2023,3000.0,,1317.0,1317.0,153.0,1963.0,25--36,268.0,00--05,1603.0,1603.0,37.58,2990619.0,0.25,565000.0,01--03,00--02,,Don't know
FR,France,Progedo,2024,14600.0,19312.0,1484.0,1484.0,149.0,2113.0,25--36,294.0,00--05,1670.0,1670.0,33.88,2992754.0,0.75,660000.0,01--03,00--02,,Don't know
FR,France,Progedo,2025,21500.0,20958.0,11282.0,11282.0,147.0,2200.0,00--06,48.0,>=24,1750.0,1750.0,30.5,3000000.0,5.0,550000.0,01--03,00--02,,40--59%
HR,Croatia,CROSSDA,2020,,,,,3.0,300.0,00--06,6.0,00--05,5.0,5.0,3.0,36626.0,3.0,,0,,,
HR,Croatia,CROSSDA,2021,18890.0,13.0,193.0,193.0,1.0,15.0,00--06,6.0,00--05,9.0,9.0,2.5,21155.0,2.5,,0,,,
HR,Croatia,CROSSDA,2022,,10.0,188.0,188.0,2.0,30.0,00--06,6.0,00--05,11.0,11.0,1.5,21235.65039,1.5,,0,,,
HR,Croatia,CROSSDA,2023,1705.0,46.0,868.0,868.0,6.0,149.0,00--06,10.0,06--09,14.0,14.0,2.0,21236.0,1.0,21236.0,0,00--02,21.0,40--59%
